圖片,品牌,產品名稱,口味,規格,營養素,子分類,價格,產品描述
"[""food_healthcare1_16_pic1.jpg"";""food_healthcare1_16_pic2.jpg"";""food_healthcare1_16_pic3.jpg""]",木入森,犬寶變不臭(益生菌),"[""犬寶變不臭(益生菌)""]","[""30入"";""15入""]","[""益生菌""]","[""腸胃""]",[350;550],● 豐富60億有益菌合狗狗需求● 加強腸道免疫力● 改善消化吸收● 減少排便異味
"[""food_healthcare1_17_pic1.jpg"";""food_healthcare1_17_pic2.jpg"";""food_healthcare1_17_pic3.jpg""]",木入森,犬寶珍心動,"[""犬寶珍心動""]","[""30顆"";""60顆""]","[""""]","[""綜合營養""]",[720;1280],● 強化心臟功能● 迅速提升體力● 維持心肌機能● 促進血液循環
"[""food_healthcare1_18_pic1.jpg"";""food_healthcare1_18_pic2.jpg""]",木入森,犬寶D藻鈣 - 30入,"[""犬寶D藻鈣""]","[""30入""]","[""""]","[""關節""]",[350],● 顧及助鈣吸收營養● 強健骨骼、牙齒發展● 避免骨質鬆散脆弱● 不同飲食皆可適用● 根據 NRC (美國國家研究委員會) 建議攝取量補充● 超越AAFCO (美國飼料品管協會) 制定營養標準，更符合貓咪補鈣的營養需求
"[""food_healthcare1_19_pic1.jpg"";""food_healthcare1_19_pic2.jpg""]",木入森,犬寶膚立好,"[""犬寶膚立好""]","[""60顆"";""30顆""]","[""""]","[""皮膚""]",[920;520],● 皮膚過敏舒緩● 調節皮脂分泌與皮膚乾燥● 減輕搔癢等皮膚剌激● 維持皮膚正常功能
"[""food_healthcare1_20_pic1.jpg"";""food_healthcare1_20_pic2.jpg""]",木入森,犬寶有關膝 (關節保健),"[""犬寶有關膝""]","[""60顆"";""30顆""]","[""""]","[""關節""]",[920;520],● 改善關節靈活● 增加關節潤滑液● 提供肌肉發展● 幫助軟骨增生
"[""food_healthcare1_21_pic1.jpg"";""food_healthcare1_21_pic2.jpg""]",木入森,犬寶好眼力 (葉黃素),"[""犬寶好眼力 (葉黃素)""]","[""60顆"";""30顆""]","[""葉黃素""]","[""眼睛""]",[1280;720],● 改善視覺敏銳度● 補充滋潤營養眼球● 維持視網膜正常運作● 促進血液循環
"[""food_healthcare1_22_pic2.jpg""]",木入森,犬寶痕淨白,"[""犬寶痕淨白""]","[""60顆"";""30顆""]","[""""]","[""眼睛""]",[920;520],● 專業去痕 淨白配方● 眼睛、鼻子、免疫、菌源 4重守護● 鮮甜雞肉味膠囊粉 好餵食
"[""food_healthcare1_23_pic2.jpg""]",木入森,犬寶固齒麗口滴劑 - 30ml,"[""犬寶固齒麗口滴劑""]","[""30ml""]","[""""]","[""綜合營養""]",[330],● 維持口腔牙齦健康● 迅速消除口臭與齒垢● 4種抑制壞菌生長● 最安心食品級原料
"[""food_healthcare1_24_pic1.jpg"";""food_healthcare1_24_pic2.jpg""]",木入森,寵物魚油粉,"[""寵物魚油粉""]","[""30入"";""15入""]","[""omega-3""]","[""綜合營養"";""關節""]",[820;450],● 超高適口性，8 成以上貓咪狗狗也愛吃的「魚油」● 無添加，健康純粹無腥味● Omega-3 優質營養補給：強化體質、過敏舒緩● 富含 Omega-3 脂肪酸 (EPA / DHA)，緩解發炎反應● 專利雙層包覆技術，完全阻隔空氣● TG / rTG型態，短時間更佳的吸收率
"[""food_healthcare1_25_pic1.jpg"";""food_healthcare1_25_pic2.jpg""]",陪心寵糧,Plus+機能保健系列 眼睛保健葉黃素,"[""眼睛保健葉黃素""]","[""45g""]","[""""]","[""眼睛""]",[420],● 游離型葉黃素：玉米黃素，黃金５：１● 搭配花青素、蝦紅素、玻尿酸的高效配方● 提供多重植化素營養，使毛孩保持眼睛明亮
"[""food_healthcare1_26_pic1.jpg"";""food_healthcare1_26_pic2.jpg"";""food_healthcare1_26_pic3.jpg""]",毛孩時代,腎臟專科保健粉,"[""腎臟專科保健粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (330包)""]","[""""]","[""綜合營養""]",[690;1290;2990;6390],● 專利蛹蟲草子、有機五味子 保護腎臟● 保健食品成分有效率達95%● 專業獸醫師、營養師合作開發● 歐日大廠指定專利配方
"[""food_healthcare1_27_pic1.jpg"";""food_healthcare1_27_pic2.jpg"";""food_healthcare1_27_pic3.jpg"";""food_healthcare1_27_pic4.jpg"";""food_healthcare1_27_pic5.jpg""]",汪喵星球,軟便剋星保養粉,"[""軟便剋星""]","[""1.5g/20包""]","[""""]","[""腸胃""]",[380],● 快速舒緩！家庭常備應急小幫手● 幫助黏膜健康，建立好菌環境、維持消化機能● 品牌大廠專利菌株，可直達腸胃發揮作用
"[""food_healthcare1_28_pic1.jpg"";""food_healthcare1_28_pic2.jpg"";""food_healthcare1_28_pic3.jpg"";""food_healthcare1_28_pic4.jpg"";""food_healthcare1_28_pic5.jpg""]",汪喵星球,Omega-3 全保養魚油 - 噴霧型,"[""Omega-3 噴霧型全保養魚油""]","[""50ml""]","[""omega-3""]","[""綜合營養"";""皮膚"";""眼睛"";""關節""]",[450],全台首創噴霧型魚油讓保存、保養都簡單！● 單方保健 X 單一小型魚種，減少毛孩過敏機率● ORIVO 認證溯源魚油，高純度又安心● 無氧噴瓶填充，用到最後一刻都能常保新鮮
"[""food_healthcare1_29_pic5.jpg""]",tomlyn,威隆獸醫配方系列 - 泌尿加強錠 (通用),"[""泌尿加強錠""]","[""30錠 (通用)""]","[""""]","[""關節""]",[1520],● 維持泌尿道健康● 防止細菌附著到泌尿道● 每次排尿都可以清潔膀胱和泌尿道
"[""food_healthcare1_30_pic1.jpg"";""food_healthcare1_30_pic2.jpg""]",Lintbells,即期品專區 - YuMOVE優骼服 (犬用),"[""YuMOVE優骼服 (活躍犬) 60錠""]","[""""]","[""""]","[""眼睛"";""即期品專區""]",[750],● 為活躍犬隻提供三重關節保健功效● 適合幼犬、年輕成犬與狗狗運動員食用方式15公斤以下每日1錠、16-30公斤每日2錠、31-45公斤每日3錠、45公斤以上每日4錠，前四至六星期內一天使用兩次
"[""food_healthcare1_31_pic1.jpg"";""food_healthcare1_31_pic2.jpg""]",Broadreach NATURE+,眼睛營養保健,"[""護眼漿果膠囊 (犬貓通用)""]","[""60粒/罐""]","[""葉黃素""]","[""眼睛""]",[1480],● 科學實證 獸醫研發配方● 包含VIS-EASE©天然藥草成分組成的獨特混合物● 英國製造針對眼睛健康所設計的營養保健品，由獸醫專家研發，並經過科學驗證支持。狗狗和貓咪常見眼睛乾澀、有發炎狀況、白內障、眼睛退化病變等問題，需要及早呵護與營養保健。護眼漿果是一種獨特、天然、生物可利用的植物藥草配方，提供玉米黃質、紫檀芪、多酚花青素及葉黃素等支持。這些植物性成分已經被證實可以支持視網膜及角膜的健康，進而幫助犬貓維持支持正常視覺功能。
"[""food_healthcare1_32_pic1.jpg"";""food_healthcare1_32_pic2.jpg""]",Lintbells,膚被毛營養保健 - YuDERM優美登藍油,"[""優美登藍油""]","[""250ml""]","[""""]","[""皮膚""]",[1250],● 協助舒緩敏感皮膚● 協助減少發癢搔抓● 支持皮膚健康● 英國獸醫通路皮膚與被毛保健品牌排名第一針對搔癢與敏感皮膚犬隻的必需脂肪酸(EFA)保健營養品。優美登藍油(犬)是針對搔癢與敏感皮膚犬隻奧米加油脂。
"[""food_healthcare1_33_pic1.jpg"";""food_healthcare1_33_pic2.jpg"";""food_healthcare1_33_pic3.jpg""]",汪喵星球,寵物腸胃益生菌,"[""腸胃原味"";""腸胃雞肉風味"";""腸胃魷魚風味""]","[""2g/30包""]","[""益生菌""]","[""腸胃""]",[650],● 犬貓皆適用，幫助腸胃健康、維持抵抗力● 嚴選耐酸鹼、高定殖率及專利包埋益生菌種● 高達 70億好菌，足量補充才有效！
"[""food_healthcare1_34_pic1.jpg"";""food_healthcare1_34_pic2.jpg""]",陪心寵糧,Plus+機能保健系列 腸胃保健益生菌,"[""腸胃保健益生菌""]","[""1.5g/30入""]","[""益生菌""]","[""腸胃""]",[599],● 10種高效菌種+26種天然蔬果酵素『1+1>2!』● 專利天然包埋結構，耐膽鹽、胃酸● MIT台灣研發專利益生菌● 維持腸道健康，幫助好菌生長、幫助消化！
"[""food_healthcare1_35_pic1.jpg"";""food_healthcare1_35_pic2.jpg""]",陪心寵糧,Plus+機能保健系列 3C極淨魚油,"[""3C極淨魚油""]","[""30ml""]","[""omega-3""]","[""皮膚"";""眼睛""]",[580],● 適合全齡犬貓使用，眼睛明亮 X 毛髮柔順 X 心血管保健● 打造EPA與DHA黃金2:1的完美比例● 使用阿拉斯加冷壓精粹的鱈魚油● 還原三酸甘油酯（rTG）型態● 85%高濃度omega-3，成份單純乾淨
"[""food_healthcare1_36_pic1.jpg"";""food_healthcare1_36_pic2.jpg"";""food_healthcare1_36_pic3.jpg""]",陪心寵糧,Plus+功能型機能粉 腸道保健,"[""腸道保健""]","[""60g""]","[""""]","[""腸胃""]",[699],● 適合腸道敏感，容易有軟便、排便不順的狗狗● 六種複方益生菌ｘ益生質ｘ綜合蔬果酵素的黃金組合● 有效改善腸道菌叢生態，幫助好菌生長，維持消化道機能
"[""food_healthcare1_37_pic1.jpg"";""food_healthcare1_37_pic2.jpg"";""food_healthcare1_37_pic3.jpg""]",陪心寵糧,Plus+功能型機能粉 皮毛保健,"[""皮毛保健""]","[""60g""]","[""""]","[""皮膚""]",[699],● 適合需要滋養皮膚、毛色黯淡的狗狗● 膠原蛋白ｘ蝦紅素ｘ免疫調節益生菌ｘ黑芝麻的黃金組合● 提供皮膚與毛髮生長需要的營養素，使毛色健康亮麗
"[""food_healthcare1_38_pic1.jpg"";""food_healthcare1_38_pic2.jpg"";""food_healthcare1_38_pic3.jpg""]",陪心寵糧,Plus+功能型機能粉 關節保健,"[""關節保健""]","[""60g""]","[""""]","[""關節""]",[699],● 適合曾有關節受損，邁入老年期與過胖的狗狗● MSMｘ葡萄糖胺ｘ綠貽貝ｘ非變性二型膠原蛋白● 補充關節囊液的組成要素，維持關節活動力和軟骨健康
"[""food_healthcare1_39_pic1.jpg"";""food_healthcare1_39_pic2.jpg"";""food_healthcare1_39_pic3.jpg""]",陪心寵糧,Plus+機能保健系列 鱉蛋爆毛粉,"[""鱉蛋爆毛粉""]","[""100g""]","[""""]","[""皮膚""]",[490],● 採台灣在地鱉蛋的高蛋白、低脂、低膽固醇，維持毛孩皮膚健康● 新鮮鱉蛋ｘ益生菌ｘ膠原蛋白三種皮膚護理組合● 使毛髮濃密亮麗有光采，維持皮毛良好狀態
"[""food_healthcare1_40_pic1.jpg"";""food_healthcare1_40_pic2.jpg"";""food_healthcare1_40_pic3.jpg""]",陪心寵糧,即期品專區 - Plus+功能型機能粉 腸道保健,"[""腸道保健 60g""]","[""""]","[""""]","[""腸胃"";""即期品專區""]",[290],● 適合腸道敏感，容易有軟便、排便不順的狗狗● 六種複方益生菌ｘ益生質ｘ綜合蔬果酵素的黃金組合● 有效改善腸道菌叢生態，幫助好菌生長，維持消化道機能
"[""food_healthcare1_41_pic1.jpg"";""food_healthcare1_41_pic2.jpg""]",不麻煩,即期品專區 - 有機薑黃粉,"[""薑黃粉 A1NXX-239""]","[""""]","[""""]","[""綜合營養"";""即期品專區""]",[250],● 內服外用皆可● 10公斤以下的貓狗 : 每日食用<0.5公克● 10公斤以上的貓狗 : 每日食用<1.5公克● 貓咪每日食用量 : <0.2公克● 少量拌於飼料、鮮食、生食即可● 因薑黃本身帶有淡淡的苦味，建議每餐拌入飯中一同食● 搭配蜂蜜調和使用，塗抹在毛孩的傷口
"[""food_healthcare1_42_pic2.jpg""]",毛孩時代,寵物保健品 - 情緒穩定保養粉,"[""情緒穩定保養粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (330包)""]","[""""]","[""紓壓""]",[520;990;2290;4690],●  含減少焦慮成分●  具提升睡眠品質成分●  可有效舒緩情緒●  天然不傷身●  擁有日本專利
"[""food_healthcare1_43_pic1.jpg"";""food_healthcare1_43_pic2.jpg"";""food_healthcare1_43_pic3.jpg""]",毛孩時代,8合1游離型葉黃素,"[""8合1游離型葉黃素""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (331包)""]","[""葉黃素""]","[""眼睛""]",[720;1390;3300;6490],● 游離型的葉黃素 吸收率佳 效果好● 含有玉米黃素 搭配效果加倍● 含蝦紅素、黑豆等複合成分 達到全方位護眼保健● 國際專利原料 足量配方
"[""food_healthcare1_44_pic1.jpg"";""food_healthcare1_44_pic2.jpg""]",毛孩時代,免疫力平衡保健粉,"[""免疫力平衡保健粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (332包)""]","[""""]","[""綜合營養""]",[750;1460;3500;7260],● 保健食品成分有效率達95%● 專業獸醫師、營養師合作開發● 歐日大廠指定專利配方
"[""food_healthcare1_45_pic1.jpg"";""food_healthcare1_45_pic2.jpg"";""food_healthcare1_45_pic3.jpg""]",毛孩時代,皮膚專科益生菌,"[""皮膚專科益生菌""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (333包)""]","[""益生菌""]","[""皮膚""]",[650;1250;2890;6150],● 五國國際專利+全菌種具菌株編號● 世界唯一蛋白質專利 雙層包埋技術● 高純度Omega3添加+專利玄米賽洛美
"[""food_healthcare1_46_pic1.jpg"";""food_healthcare1_46_pic2.jpg"";""food_healthcare1_46_pic3.jpg""]",毛孩時代,泌尿道保健粉,"[""泌尿道保健粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (334包)""]","[""""]","[""泌尿道""]",[590;1150;2600;5400],● CranPure 五項專利蔓越莓 足量Ａ型原花青素● 美國40年DDS-1專利泌尿道益生菌● 專利UTI-Best 洛神花 西班牙專利南瓜籽
"[""food_healthcare1_47_pic1.jpg"";""food_healthcare1_47_pic2.jpg""]",毛孩時代,腸胃專科益生菌,"[""腸胃專科益生菌""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (335包)""]","[""益生菌""]","[""腸胃""]",[620;1180;2680;5490],● 菌數30億 犬貓專用多元化5隻益菌● 菌數含超過20億● 美國n.zimes酵素+比利時果寡糖
"[""food_healthcare1_48_pic1.jpg"";""food_healthcare1_48_pic2.jpg""]",毛孩時代,6合1專利化毛粉,"[""6合1專利化毛粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (336包)""]","[""""]","[""化毛""]",[380;740;1750;3630],● 含天然分解毛髮、促進腸胃運動成分● 含天然油脂，加速毛髮排出● 不含礦物油、防腐劑● 不含增味劑
"[""food_healthcare1_49_pic1.jpg"";""food_healthcare1_49_pic2.jpg""]",法國法典,酵母鋅爆毛錠,"[""酵母鋅爆毛錠""]","[""60錠/罐""]","[""""]","[""皮膚""]",[600],● 豐富維生素B群及微量元素鋅、硒，調節皮膚代謝，美肌爆毛● 啤酒酵母菌調理腸胃，促進吸收● 高適口性● 增強免疫力● 適合換毛期使用
"[""food_healthcare1_50_pic2.jpg""]",法國法典,高單位深海魚油膠囊,"[""深海魚油膠囊""]","[""61錠/罐""]","[""omega-3""]","[""綜合營養""]",[780],● 超濃縮深海魚油，富含EPA及DHA● 維持皮膚、心臟、腦、骨骼及關節的發育及健康● 高適口性
"[""food_healthcare1_51_pic1.jpg"";""food_healthcare1_51_pic2.jpg""]",法國法典,關節軟骨靈活錠,"[""關節軟骨靈活錠""]","[""62錠/罐""]","[""葡萄醣胺""]","[""關節""]",[780],● 獨家爪鈎草、馬尾草配方，幫助骨骼發展和軟骨生成● 葡萄醣胺及軟骨素，強化軟骨生成● 高適口性● 增加關節潤滑液，改善關節靈活性
"[""food_healthcare1_52_pic1.jpg"";""food_healthcare1_52_pic2.jpg""]",法國法典,禪靜抗焦慮 - 口服液,"[""口服液""]","[""100ml/瓶""]","[""""]","[""紓壓""]",[650],● 內含L-色胺酸，幫助動物生成血清素(神經傳遞物質)● 有助於平息過度興奮、緊張或焦慮的犬貓方● 無副作用、無成癮性● 高適口性，天然營養補充品
"[""food_healthcare1_53_pic1.jpg"";""food_healthcare1_53_pic2.jpg""]",汪喵星球,免疫力健康,"[""免疫力健康""]","[""50顆/瓶""]","[""""]","[""綜合營養""]",[880],● 日本 KT-11 益源質，幫助維持口腔健康● 美國專利乳鐵蛋白 x 澳洲有機褐藻糖膠● 特別推薦體質虛弱、老幼犬貓補充；健康犬貓也適合作為日常營養補給
"[""food_healthcare1_54_pic1.jpg"";""food_healthcare1_54_pic2.jpg"";""food_healthcare1_54_pic3.jpg"";""food_healthcare1_54_pic4.jpg""]",汪喵星球,TAURINE 牛磺酸,"[""TAURINE 牛磺酸""]","[""70g""]","[""牛磺酸""]","[""眼睛""]",[320],● 自製生鮮食的毛孩家庭、以飼料為主食的犬貓建議補充● 市售90%以上的牛磺酸原料來源不明、或來自中國，汪喵選擇來自日本 KASANO 有檢驗報告的純牛磺酸，搭配 10% 的膳食纖維打造！
"[""food_healthcare1_55_pic1.jpg"";""food_healthcare1_55_pic2.jpg"";""food_healthcare1_55_pic3.jpg""]",汪喵星球,亮毛護膚鱉蛋粉,"[""亮毛護膚鱉蛋粉""]","[""60g""]","[""""]","[""皮膚""]",[380],● 天然鱉蛋 x 五大國際專利原料，讓毛孩皮膚健康、毛髮濃密● 汪喵選用台灣無毒飼養鱉蛋，不添加澱粉，成分來源透明
"[""food_healthcare1_56_pic1.jpg"";""food_healthcare1_56_pic2.jpg"";""food_healthcare1_56_pic3.jpg""]",汪喵星球,泌尿道健康保養粉,"[""泌尿道健康保養粉""]","[""90顆/瓶""]","[""""]","[""泌尿道""]",[650],● 新升級！有效劑量提高＋D-甘露糖plus● 嚴選國際專利複方，從情緒壓力、泌尿道生態、黏膜健康到排尿機能，全面支持泌尿道健康● 犬貓皆適用，建議平常多補充水分，輔以保健品補充泌尿道所需營養
"[""food_healthcare1_57_pic1.jpg"";""food_healthcare1_57_pic2.jpg"";""food_healthcare1_57_pic3.jpg"";""food_healthcare1_57_pic4.jpg""]",汪喵星球,紓壓胺基酸保養粉,"[""紓壓胺基酸保養粉""]","[""20包/盒""]","[""""]","[""紓壓""]",[450],● 嚴選國際專利成分，加強有效劑量，安撫毛孩更快更明顯● 特別適合毛孩外出就醫、搭車移動前食用
"[""food_healthcare1_58_pic1.jpg"";""food_healthcare1_58_pic2.jpg""]",自然食,寵立善保健品 - 綜合完整型營養粉,"[""犬用綜合完整型營養粉""]","[""105g""]","[""""]","[""綜合營養""]",[900],✔ 法國酵母螯合型維生素，經由酵母螯合轉化的天然營養素，更安全、生物利用率更高！✔ 美國全食物型態胜肽載體維生素，萃取自天然食材，新胜肽載體技術大幅提高吸收率。✔ 天然純淨海洋深層水，經由離子透析技術分離出利於吸收的離子態礦物質，生物利用率極高，是每日營養補充的最佳來源。✔ 綜合維生素採用全球營養品知名品牌 DSM 高品質原料，所有的原料皆生產於符合歐美法規經過嚴格控管，品質保證。✔ 安全、天然、適口性更佳，沒有化學合成的人工怪味。✔ 依照NRC國際營養標準調配，滿足犬貓每日營養必須。
"[""food_healthcare1_59_pic1.jpg"";""food_healthcare1_59_pic2.jpg""]",自然食,寵立善保健品 - 皮膚毛髮保健,"[""皮膚毛髮保健""]","[""30入/盒 (45g)""]","[""""]","[""皮膚""]",[1000],毛孩皮膚問題，從根本改善最行泛紅、皮屑、搔癢，當心毛孩敏弱肌前兆皮膚是身體最大的器官，是抵禦外界刺激的第一道防線！健康的皮膚應有健康的角質層，倘若角質層受損，會影響皮膚的鎖水力及防禦能力。 當面臨外界環境的刺激原，毛孩就可能出現皮膚的敏弱症狀！有效提升三「肌」力，啟動健康「膚」循環✔保水力神經醯胺構成角質細胞間油脂的主要成分，形成皮膚最外層的堅強防護網！能有效防止皮膚內層水分散失，穩定肌膚屏障功能，維持皮膚的健康、彈潤！✔修復力Verisol®皮膚專利膠原蛋白經多項實驗證明，可針對皮膚、毛髮的健康，提供修復與再生的營養，重拾健康皮毛應有的柔順滑！✔防禦力特別添加紫蘇萃取及Beta葡聚糖，幫毛孩從體內調節免疫力，增加抵擋對外界刺激的自然防護力，減少皮膚健康的失衡問題！高規格添加「Oricera®神經醯胺」，給毛孩的頂級保養、為皮膚健康提前部署1. 北海道天然玄米萃取 日本健康食品規格協會認證GMP工廠生產，台灣373項、日本800項農藥殘留檢驗合格，使用專利製程萃取，安全無毒，無使用化學溶劑。2. 足量添加、超過50位醫師推薦* 寵物保健品首度獲得日本原廠授權，達到有效實證劑量添加。專利原料並在日本獲得超過50位醫師推薦使用。3. 經口服試驗，可有效增加皮膚神經醯胺含量 年齡、壓力、環境刺激都會導致敏弱肌提前出現。經實證顯示，服用日本專利神經醯胺兩週後，可以增加角質層的神經醯胺含量，提高皮膚的含水量，強化皮膚屏障功能。
"[""food_healthcare1_60_pic1.jpg"";""food_healthcare1_60_pic2.jpg""]",自然食,寵立善保健品 - UC-II 全方位關節保養粉,"[""UC-II 全方位關節保養粉""]","[""1罐 (30g)""]","[""葡萄醣胺""]","[""關節""]",[1000],✔ 重量級採用美國專利 UC-II非變性二型膠原蛋白，有效保護關節活動力。✔ 紐西蘭綠唇貽貝，含豐富omega-3等營養素，給予關節天然又有效的營養來源。✔ 歐洲專業大藥廠食品級天然萃取玻尿酸，首支通過美國 FDA-GRAS安全認證。✔ 日本專利葡萄糖胺，經兩段式純化技術，純度高達99%！
